sku,category,subcategory,launch_date,unit_cost,list_price,lead_time_days
SKU0092,Home Decor,Table,2022-12-26,798.81,1047.21,16
SKU0093,Kitchen,Lamp,2023-01-28,456.0,704.12,26
SKU0094,Bedding,Shelf,2021-12-15,2510.23,3998.92,15
SKU0095,Bath,Organizer,2023-03-20,544.52,684.0,13
SKU0096,Outdoor,Cushion,2021-09-17,619.88,915.66,7
SKU0097,Lighting,Bedsheet,2021-08-04,1838.21,3056.39,26
SKU0098,Storage,Towel,2022-09-07,2636.23,3684.6,24
SKU0099,Lifestyle,Planter,2022-07-28,669.66,990.61,6
SKU0100,Office,Desk Lamp,2021-05-06,999.94,1471.07,16
SKU0101,Furniture,Chair,2023-01-20,2354.47,3298.53,17
SKU0102,Home Decor,Table,2021-06-29,2918.3,4988.02,17
SKU0103,Kitchen,Lamp,2022-12-26,1552.15,2546.53,28
SKU0104,Bedding,Shelf,2021-01-07,517.3,675.23,8
SKU0105,Bath,Organizer,2022-12-19,140.42,245.53,12
SKU0106,Outdoor,Cushion,2022-12-10,766.0,1294.23,9
SKU0107,Lighting,Bedsheet,2022-12-04,482.28,671.31,11
SKU0108,Storage,Towel,2022-08-22,2065.21,3445.7,28
SKU0109,Lifestyle,Planter,2022-03-01,453.31,590.76,29
SKU0110,Office,Desk Lamp,2022-09-27,1568.36,2743.93,6
SKU0111,Furniture,Chair,2021-09-07,2113.36,3345.12,21
SKU0112,Home Decor,Table,2022-12-04,1785.24,2811.86,11
SKU0113,Kitchen,Lamp,2022-05-16,679.35,879.91,10
SKU0114,Bedding,Shelf,2022-02-18,2431.96,4130.72,12
SKU0115,Bath,Organizer,2022-04-01,2174.68,2749.88,10
SKU0116,Outdoor,Cushion,2022-05-27,2243.05,3073.91,17
SKU0117,Lighting,Bedsheet,2021-02-03,480.07,634.42,30
SKU0118,Storage,Towel,2021-05-06,458.89,751.84,20
SKU0119,Lifestyle,Planter,2021-08-09,2789.93,3763.9,23
SKU0120,Office,Desk Lamp,2021-04-14,1252.98,2136.73,17
SKU0121,Furniture,Chair,2022-01-31,972.75,1535.13,5
SKU0122,Home Decor,Table,2022-08-25,1516.89,1923.54,7
SKU0123,Kitchen,Lamp,2022-08-12,2022.31,2533.38,11
SKU0124,Bedding,Shelf,2022-02-28,2871.31,3663.3,11
SKU0125,Bath,Organizer,2023-02-09,930.69,1445.33,26
SKU0126,Outdoor,Cushion,2022-05-24,2781.94,4592.26,26
SKU0127,Lighting,Bedsheet,2021-03-13,172.09,235.64,27
SKU0128,Storage,Towel,2022-11-20,1710.07,2863.86,21
SKU0129,Lifestyle,Planter,2022-06-02,1938.53,2478.64,19
SKU0130,Office,Desk Lamp,2022-07-26,407.1,671.91,21
SKU0131,Furniture,Chair,2022-05-24,506.98,868.91,15
SKU0132,Home Decor,Table,2022-05-14,1315.43,2152.11,22
SKU0133,Kitchen,Lamp,2021-03-23,2902.07,4640.59,25
SKU0134,Bedding,Shelf,2022-05-19,1828.52,3051.78,24
SKU0135,Bath,Organizer,2022-12-17,2805.77,3563.54,20
SKU0136,Outdoor,Cushion,2021-10-01,2432.65,3286.25,6
SKU0137,Lighting,Bedsheet,2022-06-27,1455.41,1910.17,23
SKU0138,Storage,Towel,2021-01-28,2375.81,3569.1,14
SKU0139,Lifestyle,Planter,2021-11-09,151.73,246.2,24
SKU0140,Office,Desk Lamp,2022-01-29,416.52,651.86,19
SKU0141,Furniture,Chair,2023-06-04,2505.34,4197.86,27
SKU0142,Home Decor,Table,2021-07-13,2410.77,3200.55,13
SKU0143,Kitchen,Lamp,2021-09-06,774.66,1252.87,29
SKU0144,Bedding,Shelf,2022-01-03,1639.23,2207.26,26
SKU0145,Bath,Organizer,2023-06-13,1857.45,2573.27,13
SKU0146,Outdoor,Cushion,2023-02-08,2616.44,4199.26,17
SKU0147,Lighting,Bedsheet,2021-02-01,1849.01,3217.47,18
SKU0148,Storage,Towel,2021-07-30,1296.46,2017.0,24
SKU0149,Lifestyle,Planter,2023-01-10,1185.13,1513.71,22
SKU0150,Office,Desk Lamp,2021-02-22,1335.06,2080.23,27
SKU0151,Furniture,Chair,2023-02-10,1990.6,2530.4,14
SKU0152,Home Decor,Table,2021-09-11,2615.72,4425.99,18
SKU0153,Kitchen,Lamp,2023-04-06,1416.3,2272.86,16
SKU0154,Bedding,Shelf,2021-09-22,818.73,1094.28,28
SKU0155,Bath,Organizer,2022-01-26,786.32,1018.96,12
SKU0156,Outdoor,Cushion,2022-08-19,2263.44,3037.01,20
SKU0157,Lighting,Bedsheet,2021-04-24,2468.05,4294.44,8
SKU0158,Storage,Towel,2022-05-17,405.31,599.57,27
SKU0159,Lifestyle,Planter,2022-03-31,293.02,481.15,14
SKU0160,Office,Desk Lamp,2022-12-07,1823.86,2860.18,13
SKU0161,Furniture,Chair,2023-06-16,523.9,804.82,20
SKU0162,Home Decor,Table,2022-08-21,2491.53,3295.21,17
SKU0163,Kitchen,Lamp,2022-01-04,999.97,1722.96,27
SKU0164,Bedding,Shelf,2022-01-01,517.23,724.47,18
SKU0165,Bath,Organizer,2022-01-12,2770.81,4264.3,18
SKU0166,Outdoor,Cushion,2023-01-03,580.04,928.0,7
SKU0167,Lighting,Bedsheet,2021-10-17,925.69,1457.61,5
SKU0168,Storage,Towel,2021-05-31,545.48,938.39,15
SKU0169,Lifestyle,Planter,2021-10-28,434.92,575.93,30
SKU0170,Office,Desk Lamp,2021-01-21,161.33,242.67,28
SKU0171,Furniture,Chair,2021-04-06,260.65,378.47,21
SKU0172,Home Decor,Table,2021-03-23,606.46,901.86,21
SKU0173,Kitchen,Lamp,2022-11-26,254.81,333.7,15
SKU0174,Bedding,Shelf,2022-10-13,1814.32,2389.55,9
SKU0175,Bath,Organizer,2022-09-20,2074.07,2880.96,5
SKU0176,Outdoor,Cushion,2022-02-20,1241.53,1741.06,13
SKU0177,Lighting,Bedsheet,2022-10-08,1022.17,1496.41,13
SKU0178,Storage,Towel,2021-05-26,1563.13,2431.44,9
SKU0179,Lifestyle,Planter,2023-03-22,2637.51,4133.81,11
SKU0180,Office,Desk Lamp,2022-03-27,2568.28,3739.17,5
SKU0181,Furniture,Chair,2023-04-25,226.08,328.81,20
SKU0182,Home Decor,Table,2021-05-18,626.35,851.09,29
SKU0183,Kitchen,Lamp,2022-03-24,786.56,1214.57,22
SKU0184,Bedding,Shelf,2022-09-19,823.22,1159.52,16
SKU0185,Bath,Organizer,2022-03-23,1756.57,2227.38,15
SKU0186,Outdoor,Cushion,2022-02-06,1307.16,1907.41,12
SKU0187,Lighting,Bedsheet,2021-05-30,242.84,361.12,8
SKU0188,Storage,Towel,2021-12-09,1183.48,1612.84,20
SKU0189,Lifestyle,Planter,2021-08-03,1618.88,2486.97,19
SKU0190,Office,Desk Lamp,2021-09-29,394.85,605.26,5
SKU0191,Furniture,Chair,2022-09-08,2517.03,4029.77,15
SKU0192,Home Decor,Table,2022-07-22,250.69,394.58,12
SKU0193,Kitchen,Lamp,2022-07-01,2782.04,4385.1,9
SKU0194,Bedding,Shelf,2021-11-22,387.43,545.54,23
SKU0195,Bath,Organizer,2023-05-14,2546.37,4185.51,18
SKU0196,Outdoor,Cushion,2021-03-20,2717.69,4143.31,21
SKU0197,Lighting,Bedsheet,2021-11-05,2940.75,4310.28,23
SKU0198,Storage,Towel,2021-04-17,2425.88,3791.67,30
SKU0199,Lifestyle,Planter,2021-11-02,2360.48,3376.26,25
SKU0200,Office,Desk Lamp,2023-05-16,1963.2,2957.3,21
